,Order,Seasonal Order,MAPE,AIC,BIC
0,"(0, 1, 0)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
1,"(0, 1, 0)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
2,"(0, 1, 0)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
3,"(0, 1, 0)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
4,"(0, 1, 0)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
5,"(0, 1, 0)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
6,"(0, 1, 0)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
7,"(0, 1, 0)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
8,"(0, 1, 0)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
9,"(0, 1, 1)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
10,"(0, 1, 1)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
11,"(0, 1, 1)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
12,"(0, 1, 1)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
13,"(0, 1, 1)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
14,"(0, 1, 1)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
15,"(0, 1, 1)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
16,"(0, 1, 1)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
17,"(0, 1, 1)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
18,"(0, 1, 2)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
19,"(0, 1, 2)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
20,"(0, 1, 2)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
21,"(0, 1, 2)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
22,"(0, 1, 2)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
23,"(0, 1, 2)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
24,"(0, 1, 2)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
25,"(0, 1, 2)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
26,"(0, 1, 2)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
27,"(0, 1, 3)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
28,"(0, 1, 3)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
29,"(0, 1, 3)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
30,"(0, 1, 3)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
31,"(0, 1, 3)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
32,"(0, 1, 3)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
33,"(0, 1, 3)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
34,"(0, 1, 3)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
35,"(0, 1, 3)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
36,"(0, 1, 4)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
37,"(0, 1, 4)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
38,"(0, 1, 4)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
39,"(0, 1, 4)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
40,"(0, 1, 4)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
41,"(0, 1, 4)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
42,"(0, 1, 4)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
43,"(0, 1, 4)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
44,"(0, 1, 4)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
45,"(1, 1, 0)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
