,Order,Seasonal Order,MAPE,AIC,BIC
0,"(0, 1, 0)","(0, 0, 0, 12)",0.09395885283855075,1250.31,1252.0
1,"(0, 1, 0)","(0, 0, 1, 12)",0.0788859765501222,1010.91,1015.0
2,"(0, 1, 0)","(0, 0, 2, 12)",0.08049496493992266,781.51,787.0
3,"(0, 1, 0)","(1, 0, 0, 12)",0.06942076421879281,1022.12,1026.0
4,"(0, 1, 0)","(1, 0, 1, 12)",0.05936394900673264,997.6,1004.0
5,"(0, 1, 0)","(1, 0, 2, 12)",0.04173229512002147,775.89,783.0
6,"(0, 1, 0)","(2, 0, 0, 12)",0.05462842336952536,789.62,795.0
7,"(0, 1, 0)","(2, 0, 1, 12)",0.04990149512021059,789.6,797.0
8,"(0, 1, 0)","(2, 0, 2, 12)",0.043429526097324644,768.78,777.0
9,"(0, 1, 1)","(0, 0, 0, 12)",0.0921641143392917,1230.49,1235.0
10,"(0, 1, 1)","(0, 0, 1, 12)",0.08098991216044638,994.26,1000.0
11,"(0, 1, 1)","(0, 0, 2, 12)",0.08284228731198766,764.36,771.0
12,"(0, 1, 1)","(1, 0, 0, 12)",0.0603599085728269,1016.14,1022.0
13,"(0, 1, 1)","(1, 0, 1, 12)",0.054040622437671916,977.84,986.0
14,"(0, 1, 1)","(1, 0, 2, 12)",0.04355240415451396,755.56,764.0
15,"(0, 1, 1)","(2, 0, 0, 12)",0.04809627347301303,787.02,794.0
16,"(0, 1, 1)","(2, 0, 1, 12)",0.044581134949977105,787.35,796.0
17,"(0, 1, 1)","(2, 0, 2, 12)",0.04267950249120855,748.4,759.0
18,"(0, 1, 2)","(0, 0, 0, 12)",0.08238856892408497,1211.33,1218.0
19,"(0, 1, 2)","(0, 0, 1, 12)",0.07810548194728237,977.87,986.0
20,"(0, 1, 2)","(0, 0, 2, 12)",0.075304830894962,748.77,757.0
21,"(0, 1, 2)","(1, 0, 0, 12)",0.060752306634163346,1025.02,1033.0
22,"(0, 1, 2)","(1, 0, 1, 12)",0.056775557425451005,961.44,971.0
23,"(0, 1, 2)","(1, 0, 2, 12)",0.038964170029468496,726.46,736.0
24,"(0, 1, 2)","(2, 0, 0, 12)",0.048432737965239524,788.6,797.0
25,"(0, 1, 2)","(2, 0, 1, 12)",0.04496839883256456,788.98,799.0
26,"(0, 1, 2)","(2, 0, 2, 12)",0.03973397810217696,733.21,745.0
27,"(0, 1, 3)","(0, 0, 0, 12)",0.10639640719036138,1194.1,1203.0
28,"(0, 1, 3)","(0, 0, 1, 12)",0.0691873497821046,951.17,961.0
29,"(0, 1, 3)","(0, 0, 2, 12)",0.08009068417085952,726.35,736.0
30,"(0, 1, 3)","(1, 0, 0, 12)",0.05594948877864908,1019.24,1029.0
31,"(0, 1, 3)","(1, 0, 1, 12)",0.049480384374088235,944.14,956.0
32,"(0, 1, 3)","(1, 0, 2, 12)",0.0515113351806498,712.34,724.0
33,"(0, 1, 3)","(2, 0, 0, 12)",0.04748127613801585,796.44,807.0
34,"(0, 1, 3)","(2, 0, 1, 12)",0.04531595993639102,790.15,802.0
35,"(0, 1, 3)","(2, 0, 2, 12)",0.05035395302131709,723.73,737.0
36,"(0, 1, 4)","(0, 0, 0, 12)",0.07965360263534733,1165.91,1176.0
